Icon Name,Variant,URL
Alert,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Alert.svg
Analysis,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Analysis.svg
Analysis,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Analysis.svg
Analysis,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Analysis.svg
Anticipatory-action,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Anticipatory-action.svg
Anticipatory-action,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Anticipatory-action.svg
Anticipatory-action,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Anticipatory-action.svg
API,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/API.svg
API,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/API.svg
API,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/API.svg
Apps,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Apps.svg
Apps,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Apps.svg
Apps,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Apps.svg
Arrest-detention,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Arrest-detention.svg
Arrest-detention,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Arrest-detention.svg
Arrest-detention,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Arrest-detention.svg
Assault,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Assault.svg
Assault,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Assault.svg
Assault,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Assault.svg
Assembly-point,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Assembly-point.svg
Assembly-point,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Assembly-point.svg
Assembly-point,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Assembly-point.svg
Assessment,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Assessment.svg
Assessment,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Assessment.svg
Assessment,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Assessment.svg
Attack,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Attack.svg
Attack,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Attack.svg
Attack,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Attack.svg
Bacteria,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bacteria.svg
Bacteria,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bacteria.svg
Bacteria,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bacteria.svg
Blanket,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Blanket.svg
Blanket,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Blanket.svg
Blanket,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Blanket.svg
Blog,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Blog.svg
Blog,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Blog.svg
Blog,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Blog.svg
Boat,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Boat.svg
Boat,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Boat.svg
Boat,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Boat.svg
Bookmark,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bookmark.svg
Bookmark,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bookmark.svg
Bookmark,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bookmark.svg
Border-closed,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Border-closed.svg
Border-closed,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Border-closed.svg
Border-closed,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Border-closed.svg
Border-crossing,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Border-crossing.svg
Border-crossing,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Border-crossing.svg
Border-crossing,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Border-crossing.svg
Borehole,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Borehole.svg
Borehole,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Borehole.svg
Borehole,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Borehole.svg
Bottled-water,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bottled-water.svg
Bottled-water,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bottled-water.svg
Bottled-water,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bottled-water.svg
Bridge-affected,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bridge-affected.svg
Bridge-affected,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bridge-affected.svg
Bridge-affected,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bridge-affected.svg
Bridge-closed,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bridge-closed.svg
Bridge-closed,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bridge-closed.svg
Bridge-closed,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bridge-closed.svg
Bridge-destroyed,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bridge-destroyed.svg
Bridge-destroyed,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bridge-destroyed.svg
Bridge-destroyed,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bridge-destroyed.svg
Bridge-not-affected,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bridge-not-affected.svg
Bridge-not-affected,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bridge-not-affected.svg
Bridge-not-affected,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bridge-not-affected.svg
Bridge,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bridge.svg
Bridge,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Bridge.svg
Bridge,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Bridge.svg
Bucket,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Bucket.svg
